"plant_id"	"Treatment"	"ACC_ID"	"Rep"
"1"	"P_86_1"	"P"	"86"	"1"
"2"	"P_86_2"	"P"	"86"	"2"
"3"	"P_86_3"	"P"	"86"	"3"
"4"	"P_86_4"	"P"	"86"	"4"
"5"	"P_86_5"	"P"	"86"	"5"
"6"	"P_86_6"	"P"	"86"	"6"
"7"	"P_86_7"	"P"	"86"	"7"
"8"	"P_86_8"	"P"	"86"	"8"
"9"	"P_86_9"	"P"	"86"	"9"
"10"	"P_86_10"	"P"	"86"	"10"
"11"	"P_96_1"	"P"	"96"	"1"
"12"	"P_96_2"	"P"	"96"	"2"
"13"	"P_96_3"	"P"	"96"	"3"
"14"	"P_96_4"	"P"	"96"	"4"
"15"	"P_149_1"	"P"	"149"	"1"
"16"	"P_149_2"	"P"	"149"	"2"
"17"	"P_149_3"	"P"	"149"	"3"
"18"	"P_149_4"	"P"	"149"	"4"
"19"	"P_149_5"	"P"	"149"	"5"
"20"	"P_149_6"	"P"	"149"	"6"
"21"	"P_204_1"	"P"	"204"	"1"
"22"	"P_204_2"	"P"	"204"	"2"
"23"	"P_204_3"	"P"	"204"	"3"
"24"	"P_204_4"	"P"	"204"	"4"
"25"	"P_204_5"	"P"	"204"	"5"
"26"	"P_224_1"	"P"	"224"	"1"
"27"	"P_224_2"	"P"	"224"	"2"
"28"	"P_224_3"	"P"	"224"	"3"
"29"	"P_224_4"	"P"	"224"	"4"
"30"	"P_224_5"	"P"	"224"	"5"
"31"	"P_224_6"	"P"	"224"	"6"
"32"	"P_224_7"	"P"	"224"	"7"
"33"	"P_224_8"	"P"	"224"	"8"
"34"	"P_224_9"	"P"	"224"	"9"
"35"	"P_224_10"	"P"	"224"	"10"
"36"	"P_236_1"	"P"	"236"	"1"
"37"	"P_236_2"	"P"	"236"	"2"
"38"	"P_236_3"	"P"	"236"	"3"
"39"	"P_236_4"	"P"	"236"	"4"
"40"	"P_236_5"	"P"	"236"	"5"
"41"	"P_236_6"	"P"	"236"	"6"
"42"	"P_236_7"	"P"	"236"	"7"
"43"	"P_262_1"	"P"	"262"	"1"
"44"	"P_262_2"	"P"	"262"	"2"
"45"	"P_262_3"	"P"	"262"	"3"
"46"	"P_262_4"	"P"	"262"	"4"
"47"	"P_262_5"	"P"	"262"	"5"
"48"	"P_262_6"	"P"	"262"	"6"
"49"	"P_262_7"	"P"	"262"	"7"
"50"	"P_266_1"	"P"	"266"	"1"
"51"	"P_266_2"	"P"	"266"	"2"
"52"	"P_266_3"	"P"	"266"	"3"
"53"	"P_266_4"	"P"	"266"	"4"
"54"	"P_266_5"	"P"	"266"	"5"
"55"	"P_266_6"	"P"	"266"	"6"
"56"	"P_266_7"	"P"	"266"	"7"
"57"	"P_266_8"	"P"	"266"	"8"
"58"	"P_266_9"	"P"	"266"	"9"
"59"	"P_394_1"	"P"	"394"	"1"
"60"	"P_394_2"	"P"	"394"	"2"
"61"	"P_394_3"	"P"	"394"	"3"
"62"	"P_394_4"	"P"	"394"	"4"
"63"	"P_394_5"	"P"	"394"	"5"
"64"	"P_394_6"	"P"	"394"	"6"
"65"	"P_394_7"	"P"	"394"	"7"
"66"	"P_394_8"	"P"	"394"	"8"
"67"	"P_394_9"	"P"	"394"	"9"
"68"	"P_461_1"	"P"	"461"	"1"
"69"	"P_461_2"	"P"	"461"	"2"
"70"	"P_461_3"	"P"	"461"	"3"
"71"	"P_936_1"	"P"	"936"	"1"
"72"	"P_936_2"	"P"	"936"	"2"
"73"	"P_936_3"	"P"	"936"	"3"
"74"	"P_936_4"	"P"	"936"	"4"
"75"	"P_936_5"	"P"	"936"	"5"
"76"	"P_936_6"	"P"	"936"	"6"
"77"	"P_936_7"	"P"	"936"	"7"
"78"	"P_1829_1"	"P"	"1829"	"1"
"79"	"P_1829_2"	"P"	"1829"	"2"
"80"	"P_1829_3"	"P"	"1829"	"3"
"81"	"P_1829_4"	"P"	"1829"	"4"
"82"	"P_1829_5"	"P"	"1829"	"5"
"83"	"P_1829_6"	"P"	"1829"	"6"
"84"	"P_1829_7"	"P"	"1829"	"7"
"85"	"P_1829_8"	"P"	"1829"	"8"
"86"	"P_1829_9"	"P"	"1829"	"9"
"87"	"P_1874_1"	"P"	"1874"	"1"
"88"	"P_1874_2"	"P"	"1874"	"2"
"89"	"P_1874_3"	"P"	"1874"	"3"
"90"	"P_1874_4"	"P"	"1874"	"4"
"91"	"P_1874_5"	"P"	"1874"	"5"
"92"	"P_1874_6"	"P"	"1874"	"6"
"93"	"P_1874_7"	"P"	"1874"	"7"
"94"	"P_2057_1"	"P"	"2057"	"1"
"95"	"P_2057_2"	"P"	"2057"	"2"
"96"	"P_2057_3"	"P"	"2057"	"3"
"97"	"P_2057_4"	"P"	"2057"	"4"
"98"	"P_2057_5"	"P"	"2057"	"5"
"99"	"P_2057_6"	"P"	"2057"	"6"
"100"	"P_2057_7"	"P"	"2057"	"7"
"101"	"P_2057_8"	"P"	"2057"	"8"
"102"	"P_2057_9"	"P"	"2057"	"9"
"103"	"P_2171_1"	"P"	"2171"	"1"
"104"	"P_2171_2"	"P"	"2171"	"2"
"105"	"P_2171_3"	"P"	"2171"	"3"
"106"	"P_2171_4"	"P"	"2171"	"4"
"107"	"P_2171_5"	"P"	"2171"	"5"
"108"	"P_2171_6"	"P"	"2171"	"6"
"109"	"P_2171_7"	"P"	"2171"	"7"
"110"	"P_2171_8"	"P"	"2171"	"8"
"111"	"P_2171_9"	"P"	"2171"	"9"
"112"	"P_2171_10"	"P"	"2171"	"10"
"113"	"P_2187_1"	"P"	"2187"	"1"
"114"	"P_2187_2"	"P"	"2187"	"2"
"115"	"P_2187_3"	"P"	"2187"	"3"
"116"	"P_2187_4"	"P"	"2187"	"4"
"117"	"P_2290_1"	"P"	"2290"	"1"
"118"	"P_2290_2"	"P"	"2290"	"2"
"119"	"P_2290_3"	"P"	"2290"	"3"
"120"	"P_2290_4"	"P"	"2290"	"4"
"121"	"P_2290_5"	"P"	"2290"	"5"
"122"	"P_2290_6"	"P"	"2290"	"6"
"123"	"P_2290_7"	"P"	"2290"	"7"
"124"	"P_2320_1"	"P"	"2320"	"1"
"125"	"P_2320_2"	"P"	"2320"	"2"
"126"	"P_2320_3"	"P"	"2320"	"3"
"127"	"P_2320_4"	"P"	"2320"	"4"
"128"	"P_2320_5"	"P"	"2320"	"5"
"129"	"P_5723_1"	"P"	"5723"	"1"
"130"	"P_5723_2"	"P"	"5723"	"2"
"131"	"P_5723_3"	"P"	"5723"	"3"
"132"	"P_5723_4"	"P"	"5723"	"4"
"133"	"P_5723_5"	"P"	"5723"	"5"
"134"	"P_5723_6"	"P"	"5723"	"6"
"135"	"P_5723_7"	"P"	"5723"	"7"
"136"	"P_5723_8"	"P"	"5723"	"8"
"137"	"P_5729_1"	"P"	"5729"	"1"
"138"	"P_5729_2"	"P"	"5729"	"2"
"139"	"P_5729_3"	"P"	"5729"	"3"
"140"	"P_5729_4"	"P"	"5729"	"4"
"141"	"P_5729_5"	"P"	"5729"	"5"
"142"	"P_5729_6"	"P"	"5729"	"6"
"143"	"P_5729_7"	"P"	"5729"	"7"
"144"	"P_5731_1"	"P"	"5731"	"1"
"145"	"P_5731_2"	"P"	"5731"	"2"
"146"	"P_5731_3"	"P"	"5731"	"3"
"147"	"P_5731_4"	"P"	"5731"	"4"
"148"	"P_5731_5"	"P"	"5731"	"5"
"149"	"P_5731_6"	"P"	"5731"	"6"
"150"	"P_5731_7"	"P"	"5731"	"7"
"151"	"P_5731_8"	"P"	"5731"	"8"
"152"	"P_5731_9"	"P"	"5731"	"9"
"153"	"P_5736_1"	"P"	"5736"	"1"
"154"	"P_5736_2"	"P"	"5736"	"2"
"155"	"P_5736_3"	"P"	"5736"	"3"
"156"	"P_5736_4"	"P"	"5736"	"4"
"157"	"P_5736_5"	"P"	"5736"	"5"
"158"	"P_5736_6"	"P"	"5736"	"6"
"159"	"P_5742_1"	"P"	"5742"	"1"
"160"	"P_5742_2"	"P"	"5742"	"2"
"161"	"P_5742_3"	"P"	"5742"	"3"
"162"	"P_5742_4"	"P"	"5742"	"4"
"163"	"P_5742_5"	"P"	"5742"	"5"
"164"	"P_5742_6"	"P"	"5742"	"6"
"165"	"P_5745_1"	"P"	"5745"	"1"
"166"	"P_5745_2"	"P"	"5745"	"2"
"167"	"P_5745_3"	"P"	"5745"	"3"
"168"	"P_5745_4"	"P"	"5745"	"4"
"169"	"P_5745_5"	"P"	"5745"	"5"
"170"	"P_5745_6"	"P"	"5745"	"6"
"171"	"P_5751_1"	"P"	"5751"	"1"
"172"	"P_5751_2"	"P"	"5751"	"2"
"173"	"P_5751_3"	"P"	"5751"	"3"
"174"	"P_5751_4"	"P"	"5751"	"4"
"175"	"P_5752_1"	"P"	"5752"	"1"
"176"	"P_5752_2"	"P"	"5752"	"2"
"177"	"P_5752_3"	"P"	"5752"	"3"
"178"	"P_5752_4"	"P"	"5752"	"4"
"179"	"P_5752_5"	"P"	"5752"	"5"
"180"	"P_5752_6"	"P"	"5752"	"6"
"181"	"P_5752_7"	"P"	"5752"	"7"
"182"	"P_5837_1"	"P"	"5837"	"1"
"183"	"P_5837_2"	"P"	"5837"	"2"
