"plant_id"	"Treatment"	"ACC_ID"	"Rep"	"plant_num"
"1"	"P_86_1"	"P"	"86"	1	1
"2"	"P_86_2"	"P"	"86"	2	2
"3"	"P_86_3"	"P"	"86"	3	3
"4"	"P_86_4"	"P"	"86"	4	4
"5"	"P_86_5"	"P"	"86"	5	5
"6"	"P_86_6"	"P"	"86"	6	6
"7"	"P_86_7"	"P"	"86"	7	7
"8"	"P_86_8"	"P"	"86"	8	8
"9"	"P_86_9"	"P"	"86"	9	9
"10"	"P_86_10"	"P"	"86"	10	10
"11"	"P_96_1"	"P"	"96"	1	11
"12"	"P_96_2"	"P"	"96"	2	12
"13"	"P_96_3"	"P"	"96"	3	13
"14"	"P_96_4"	"P"	"96"	4	14
"15"	"P_149_1"	"P"	"149"	1	15
"16"	"P_149_2"	"P"	"149"	2	16
"17"	"P_149_3"	"P"	"149"	3	17
"18"	"P_149_4"	"P"	"149"	4	18
"19"	"P_149_5"	"P"	"149"	5	19
"20"	"P_149_6"	"P"	"149"	6	20
"21"	"P_204_1"	"P"	"204"	1	21
"22"	"P_204_2"	"P"	"204"	2	22
"23"	"P_204_3"	"P"	"204"	3	23
"24"	"P_204_4"	"P"	"204"	4	24
"25"	"P_204_5"	"P"	"204"	5	25
"26"	"P_224_1"	"P"	"224"	1	26
"27"	"P_224_2"	"P"	"224"	2	27
"28"	"P_224_3"	"P"	"224"	3	28
"29"	"P_224_4"	"P"	"224"	4	29
"30"	"P_224_5"	"P"	"224"	5	30
"31"	"P_224_6"	"P"	"224"	6	31
"32"	"P_224_7"	"P"	"224"	7	32
"33"	"P_224_8"	"P"	"224"	8	33
"34"	"P_224_9"	"P"	"224"	9	34
"35"	"P_224_10"	"P"	"224"	10	35
"36"	"P_236_1"	"P"	"236"	1	36
"37"	"P_236_2"	"P"	"236"	2	37
"38"	"P_236_3"	"P"	"236"	3	38
"39"	"P_236_4"	"P"	"236"	4	39
"40"	"P_236_5"	"P"	"236"	5	40
